34,2/29/20,Indiana,0,0,0
34,1/23/20,Iowa,0,0,0
34,2/11/20,Iowa,0,0,0
34,2/26/20,Iowa,0,0,0
34,2/14/20,Kentucky,0,0,0
34,2/2/20,Maine,0,0,0
34,3/16/20,Maine,16,0,0
34,2/15/20,Massachusetts,1,0,0
34,1/27/20,Michigan,0,0,0
34,2/3/20,Minnesota,0,0,0
34,4/15/20,Minnesota,1805,86,0
34,1/22/20,Missouri,0,0,0
34,1/29/20,Missouri,0,0,0
34,2/6/20,Missouri,0,0,0
34,2/3/20,Montana,0,0,0
34,2/13/20,Montana,0,0,0
34,2/25/20,Montana,0,0,0
34,1/22/20,New Hampshire,0,0,0
34,1/30/20,New Hampshire,0,0,0
34,2/6/20,New Hampshire,0,0,0
34,2/7/20,New Hampshire,0,0,0
34,2/14/20,New Hampshire,0,0,0
34,2/5/20,New Mexico,0,0,0
34,2/24/20,North Dakota,0,0,0
34,3/18/20,North Dakota,7,0,0
34,4/12/20,North Dakota,308,8,0
34,1/29/20,Ohio,0,0,0
34,2/20/20,Ohio,0,0,0
34,1/29/20,South Dakota,0,0,0
34,3/14/20,South Dakota,9,1,0
34,4/14/20,South Dakota,988,5,0
34,1/31/20,Vermont,0,0,0
34,2/16/20,Vermont,0,0,0
34,2/17/20,Vermont,0,0,0
34,2/18/20,Vermont,0,0,0
34,2/29/20,West Virginia,0,0,0
34,2/12/20,Wisconsin,0,0,0
34,2/17/20,Wisconsin,0,0,0
34,2/29/20,Wisconsin,0,0,0
34,3/14/20,Wisconsin,27,0,0
34,3/21/20,Wisconsin,281,4,0
34,4/14/20,Wisconsin,3555,169,0
34,4/15/20,Wisconsin,3721,181,0
34,2/9/20,Wyoming,0,0,0
34,4/3/20,Wyoming,166,0,0
35,4/13/20,Colorado,7128,290,0
35,2/18/20,Idaho,0,0,0
35,2/20/20,Idaho,0,0,0
35,1/22/20,Illinois,0,0,0
35,1/25/20,Illinois,1,0,0
35,1/27/20,Illinois,1,0,0
35,2/5/20,Illinois,2,0,0
35,2/8/20,Illinois,2,0,0
35,1/22/20,Indiana,0,0,0
35,1/30/20,Indiana,0,0,0
35,2/5/20,Indiana,0,0,0
35,2/21/20,Indiana,0,0,0
35,1/31/20,Iowa,0,0,0
35,2/10/20,Iowa,0,0,0
35,2/12/20,Iowa,0,0,0
35,2/27/20,Iowa,0,0,0
35,2/28/20,Iowa,0,0,0
35,2/4/20,Kansas,0,0,0
35,2/1/20,Maine,0,0,0
35,2/5/20,Maine,0,0,0
35,2/16/20,Maine,0,0,0
35,2/17/20,Maine,0,0,0
35,3/22/20,Maine,89,0,0
35,3/23/20,Maine,107,0,0
35,1/22/20,Massachusetts,0,0,0
35,1/26/20,Michigan,0,0,0
35,2/1/20,Michigan,0,0,0
35,2/12/20,Michigan,0,0,0
35,2/18/20,Michigan,0,0,0
35,2/21/20,Michigan,0,0,0
35,3/10/20,Minnesota,2,0,0
35,3/13/20,Minnesota,18,0,0
35,3/16/20,Minnesota,54,0,0
35,2/5/20,Missouri,0,0,0
35,2/13/20,Missouri,0,0,0
35,2/9/20,Montana,0,0,0
35,3/13/20,Montana,4,0,0
35,2/18/20,New Hampshire,0,0,0
35,1/22/20,New York,0,0,0
35,1/29/20,New York,0,0,0
35,4/4/20,North Dakota,186,3,0
35,1/22/20,Ohio,0,0,0
35,1/27/20,Ohio,0,0,0
35,1/28/20,Ohio,0,0,0
35,2/21/20,Ohio,0,0,0
35,2/27/20,Ohio,0,0,0
35,2/5/20,Oklahoma,0,0,0
35,2/15/20,Pennsylvania,0,0,0
35,2/21/20,Pennsylvania,0,0,0
35,2/29/20,Pennsylvania,0,0,0
35,1/25/20,South Dakota,0,0,0
35,2/12/20,South Dakota,0,0,0
35,2/17/20,South Dakota,0,0,0
35,1/24/20,Wisconsin,0,0,0
35,1/25/20,Wisconsin,0,0,0
35,1/30/20,Wyoming,0,0,0
35,2/3/20,Wyoming,0,0,0
35,2/17/20,Wyoming,0,0,0
35,4/2/20,Wyoming,153,0,0
36,3/16/20,Alaska,3,0,0
36,3/22/20,Alaska,23,0,0
36,3/26/20,Alaska,69,1,0
36,4/3/20,Alaska,157,3,0
36,2/7/20,Colorado,0,0,0
36,2/26/20,Colorado,0,0,0
36,1/22/20,Connecticut,0,0,0
36,2/15/20,Delaware,0,0,0
36,1/23/20,Illinois,0,0,0
36,1/30/20,Illinois,1,0,0
36,2/7/20,Illinois,2,0,0
36,2/26/20,Illinois,2,0,0
36,3/21/20,Indiana,124,9,0
36,2/18/20,Iowa,0,0,0
36,2/13/20,Kansas,0,0,0
36,1/31/20,Maine,0,0,0
36,2/10/20,Maine,0,0,0
36,2/11/20,Maine,0,0,0
36,2/13/20,Maine,0,0,0
36,2/19/20,Maine,0,0,0
36,3/2/20,Maine,0,0,0
36,2/9/20,Massachusetts,1,0,0
36,1/23/20,Michigan,0,0,0
36,1/24/20,Michigan,0,0,0
36,3/22/20,Michigan,1035,6,0
36,4/15/20,Michigan,28057,1921,0
36,2/1/20,Minnesota,0,0,0
36,2/21/20,Minnesota,0,0,0
36,3/2/20,Minnesota,0,0,0
36,3/6/20,Minnesota,1,0,0
36,3/15/20,Minnesota,35,0,0
36,1/23/20,Missouri,0,0,0
36,2/7/20,Montana,0,0,0
36,2/8/20,Montana,0,0,0
36,2/12/20,Montana,0,0,0
36,4/1/20,Montana,217,4,0
36,2/19/20,Nebraska,0,0,0
36,3/14/20,Nebraska,18,0,0
36,3/20/20,Nebraska,36,0,0
36,1/29/20,New Hampshire,0,0,0
36,2/2/20,New Hampshire,0,0,0
36,2/16/20,New Hampshire,0,0,0
36,2/19/20,New Hampshire,0,0,0
36,2/15/20,New Jersey,0,0,0
36,2/21/20,New Jersey,0,0,0
36,1/31/20,New York,0,0,0
36,2/6/20,New York,0,0,0
36,2/9/20,New York,0,0,0
36,2/20/20,New York,0,0,0
36,3/17/20,North Dakota,5,0,0
36,1/31/20,Ohio,0,0,0
36,2/5/20,Ohio,0,0,0
36,2/9/20,Ohio,0,0,0
36,2/13/20,Ohio,0,0,0
36,2/15/20,Ohio,0,0,0
36,1/22/20,Pennsylvania,0,0,0
36,1/22/20,Rhode Island,0,0,0
36,3/1/20,Rhode Island,1,0,0
36,1/27/20,South Dakota,0,0,0
36,1/30/20,South Dakota,0,0,0
36,2/11/20,South Dakota,0,0,0
36,2/27/20,South Dakota,0,0,0
36,3/15/20,South Dakota,9,1,0
36,1/23/20,Vermont,0,0,0
36,1/28/20,Vermont,0,0,0
36,2/5/20,Vermont,0,0,0
36,2/11/20,Vermont,0,0,0
36,2/12/20,Vermont,0,0,0
36,2/13/20,Vermont,0,0,0
36,2/28/20,Vermont,0,0,0
36,1/29/20,West Virginia,0,0,0
36,2/8/20,West Virginia,0,0,0
36,2/21/20,West Virginia,0,0,0
36,2/28/20,West Virginia,0,0,0
36,2/21/20,Wisconsin,0,0,0
36,2/25/20,Wisconsin,0,0,0
36,1/29/20,Wyoming,0,0,0
36,2/16/20,Wyoming,0,0,0
36,3/2/20,Wyoming,0,0,0
36,3/13/20,Wyoming,2,0,0
36,4/12/20,Wyoming,270,0,0
