date_time,alabama_maxtempC,alabama_mintempC,alaska_maxtempC,alaska_mintempC,arizona_maxtempC,arizona_mintempC,arkansas_maxtempC,arkansas_mintempC,california_maxtempC,california_mintempC,colorado_maxtempC,colorado_mintempC,connecticut_maxtempC,connecticut_mintempC,delaware_maxtempC,delaware_mintempC,district_of_columbia_maxtempC,district_of_columbia_mintempC,florida_maxtempC,florida_mintempC,georgia_maxtempC,georgia_mintempC,hawaii_maxtempC,hawaii_mintempC,idaho_maxtempC,idaho_mintempC,illinois_maxtempC,illinois_mintempC,indiana_maxtempC,indiana_mintempC,iowa_maxtempC,iowa_mintempC,kansas_maxtempC,kansas_mintempC,kentucky_maxtempC,kentucky_mintempC,louisiana_maxtempC,louisiana_mintempC,maine_maxtempC,maine_mintempC,montana_maxtempC,montana_mintempC,nebraska_maxtempC,nebraska_mintempC,nevada_maxtempC,nevada_mintempC,new_hampshire_maxtempC,new_hampshire_mintempC,new_jersey_maxtempC,new_jersey_mintempC,new_mexico_maxtempC,new_mexico_mintempC,new_york_maxtempC,new_york_mintempC,north_carolina_maxtempC,north_carolina_mintempC,north_dakota_maxtempC,north_dakota_mintempC,ohio_maxtempC,ohio_mintempC,oklahoma_maxtempC,oklahoma_mintempC,oregon_maxtempC,oregon_mintempC,maryland_maxtempC,maryland_mintempC,massachusetts_maxtempC,massachusetts_mintempC,michigan_maxtempC,michigan_mintempC,minnesota_maxtempC,minnesota_mintempC,mississippi_maxtempC,mississippi_mintempC,missouri_maxtempC,missouri_mintempC,pennsylvania_maxtempC,pennsylvania_mintempC,rhode_island_maxtempC,rhode_island_mintempC,south_carolina_maxtempC,south_carolina_mintempC,south_dakota_maxtempC,south_dakota_mintempC,tennessee_maxtempC,tennessee_mintempC,texas_maxtempC,texas_mintempC,utah_maxtempC,utah_mintempC,vermont_maxtempC,vermont_mintempC,virginia_maxtempC,virginia_mintempC,washington_maxtempC,washington_mintempC,west_virginia_maxtempC,west_virginia_mintempC,wisconsin_maxtempC,wisconsin_mintempC,wyoming_maxtempC,wyoming_mintempC
2020-01-31,14,11,31,20,30,22,8,-1,18,7,5,-14,4,-4,1,-3,8,0,24,11,12,4,28,16,-1,-9,1,-4,4,0,0,-4,5,-1,40,22,3,-1,30,16,12,3,2,-2,24,11,1,-2,6,1,35,22,6,1,9,-1,0,-6,2,-1,10,1,14,9,6,1,5,-1,2,-1,0,-10,11,9,15,11,2,-4,5,-2,28,14,-1,-8,2,-2,14,11,-9,-18,28,23,9,5,9,0,9,-1,-1,-7,1,-5
2020-02-01,14,9,29,23,28,22,14,0,20,8,11,-1,3,-1,3,-2,6,2,26,10,3,1,28,21,0,-5,1,-4,4,1,0,-7,11,-2,39,22,4,-2,29,15,15,6,6,-3,26,12,2,-2,6,3,35,23,6,3,11,3,0,-3,2,-2,15,2,11,6,4,0,6,1,2,0,0,-6,11,6,20,10,4,-1,6,2,32,15,3,-5,3,-3,16,10,-8,-19,28,24,8,5,7,2,6,0,-1,-5,1,-1
2020-02-02,16,9,26,20,23,18,20,7,20,9,15,2,5,-2,12,-1,9,2,25,12,7,-1,21,11,1,-6,8,2,14,1,4,-1,17,4,39,25,13,3,29,14,12,6,9,2,24,12,12,-1,6,-1,35,25,6,1,13,2,5,1,11,0,21,9,7,1,16,5,4,0,8,1,4,1,19,5,22,13,2,-4,4,0,31,14,4,-6,11,2,18,13,-8,-18,27,23,11,5,10,3,13,2,3,0,6,0
2020-02-03,19,13,30,18,24,20,17,10,8,1,1,-5,6,-3,13,3,15,7,26,10,10,1,22,14,-6,-10,3,2,14,6,1,0,15,7,39,22,17,6,30,14,15,6,1,-3,23,12,12,3,10,5,33,22,10,4,18,7,3,-1,11,3,20,12,6,0,17,9,7,0,6,3,-1,-9,20,10,21,15,8,1,7,-1,30,13,-5,-12,11,1,19,14,-9,-19,28,23,17,9,17,7,17,6,0,-4,5,0
2020-02-04,20,17,31,20,29,20,1,-1,8,-1,-10,-19,9,1,11,0,12,8,26,10,8,2,17,10,-15,-22,-1,-7,12,2,-1,-4,0,-2,40,26,3,-4,30,16,13,8,-2,-6,26,12,11,-1,11,6,28,17,11,6,17,11,-2,-5,9,0,3,0,6,-1,5,1,8,2,2,0,-7,-11,19,14,25,19,12,5,10,3,29,13,-12,-18,1,-6,20,18,-10,-19,27,23,17,11,13,8,13,12,-6,-11,0,-3
2020-02-05,21,15,29,19,31,20,1,-3,11,0,-4,-22,4,-3,2,-2,6,3,27,11,9,1,17,10,-10,-16,-1,-5,4,0,-3,-7,-2,-3,38,26,0,-3,30,15,5,-1,0,-6,26,11,2,-3,5,2,27,14,6,2,17,14,-3,-8,1,-4,1,-3,8,3,0,-2,2,-1,0,-3,-4,-13,21,16,15,8,1,-2,4,-2,29,15,-4,-11,-1,-4,18,9,-7,-20,27,20,15,3,7,2,7,0,-4,-13,-1,-5
2020-02-06,19,10,30,19,31,21,6,-5,16,5,1,-17,3,-2,2,-3,12,4,26,11,15,4,17,12,-4,-10,-1,-5,-1,-3,-2,-8,3,-5,34,17,-2,-4,31,15,2,-6,2,-6,27,10,-1,-3,8,3,23,15,8,3,19,15,-3,-8,-2,-5,5,-6,12,9,-1,-3,4,-3,-2,-3,-2,-10,10,5,10,3,7,-2,6,1,28,16,-4,-10,-1,-6,10,6,-9,-19,28,24,19,10,13,4,15,6,-3,-9,-2,-5
2020-02-07,12,4,32,20,28,21,8,-2,19,7,1,-12,12,-4,0,-4,13,2,27,11,10,4,22,16,1,-5,-1,-6,1,-5,-2,-8,3,-3,34,21,0,-8,32,17,3,-6,-1,-5,25,11,-1,-5,12,1,26,15,12,1,9,1,-2,-10,-1,-6,9,-1,11,7,2,-6,11,2,0,-3,-2,-10,9,0,20,8,2,-5,13,1,26,16,-17,-22,-1,-7,18,9,-4,-18,28,24,14,5,13,2,1,-4,-3,-9,0,-7
2020-02-08,18,10,32,18,28,22,10,-1,21,8,5,-9,2,-5,1,-4,7,1,25,12,5,-3,20,17,-1,-6,-3,-9,1,-2,-7,-13,6,-4,35,19,-1,-7,31,17,2,-7,5,-7,23,12,1,-5,5,-1,23,18,5,-1,7,-1,-4,-10,0,-5,13,2,8,4,1,-6,0,-5,-1,-4,-7,-13,12,5,19,12,1,-6,3,-3,25,16,-7,-22,-2,-6,16,11,0,-12,27,22,7,2,7,1,5,-6,-5,-11,-1,-5
2020-02-09,18,13,34,21,28,21,14,3,11,6,-4,-12,3,-6,1,-5,10,2,25,11,-1,-5,15,10,-7,-15,3,-4,1,-7,2,-5,9,-1,34,19,7,-3,31,17,5,-2,3,-3,24,11,1,-5,8,1,26,19,8,1,10,-1,1,-9,0,-8,17,6,10,2,9,-1,1,-5,1,-6,-2,-11,18,4,21,16,3,-5,3,-4,26,16,-9,-16,3,-4,19,17,-4,-13,27,24,11,3,11,1,8,-5,-4,-10,-1,-9
